Interval=	0.001 s
ExcelDateTime=	4.3508692196499695e+004	2/12/2019 16:36:45.777573
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 3
Range=	10.000 V	200.0 µV
0.632	-0.005	14.4
0.633	-0.005	12.8
0.634	-0.005	8.5
0.635	-0.005	6.2
0.636	-0.005	0.1
0.637	-0.005	-5.5
0.638	-0.005	-8.3
0.639	-0.005	-12.4
0.64	-0.005	-13.8
0.641	-0.005	-11.7
0.642	-0.005	-13.8
0.643	-0.005	-13.3
0.644	-0.005	-9.7
0.645	-0.005	-7.6
0.646	-0.005	0.2
0.647	-0.005	5.9
0.648	-0.005	8.3
0.649	-0.005	12.4
0.65	-0.005	14.8
0.651	-0.005	14.8
0.652	-0.005	15.4
0.653	-0.005	14.4
0.654	-0.005	10.5
0.655	-0.005	6.6
0.656	-0.005	1.0
0.657	-0.005	-3.0
0.658	-0.005	-6.5
0.659	-0.005	-11.5
0.66	-0.005	-14.3
0.661	-0.005	-13.5
0.662	-0.005	-14.0
0.663	-0.005	-13.4
0.664	-0.005	-10.6
0.665	-0.005	-7.8
0.666	-0.005	-0.7
0.667	-0.005	3.6
0.668	-0.005	5.9
0.669	-0.005	10.1
0.67	-0.005	12.6
0.671	-0.005	13.1
0.672	-0.005	14.7
0.673	-0.005	14.4
0.674	-0.005	10.4
0.675	-0.005	7.1
0.676	-0.005	1.1
0.677	-0.005	-3.1
0.678	-0.005	-4.7
0.679	-0.005	-7.7
0.68	-0.005	-10.2
0.681	-0.005	-10.7
0.682	-0.005	-11.5
0.683	-0.005	-10.4
0.684	-0.005	-8.1
0.685	-0.005	-5.9
0.686	-0.005	0.9
0.687	-0.005	4.8
0.688	-0.005	7.8
0.689	-0.005	12.4
0.69	-0.005	14.9
0.691	-0.005	14.8
0.692	-0.005	14.3
0.693	-0.005	12.4
0.694	-0.005	7.7
0.695	-0.005	4.2
0.696	-0.005	-1.5
0.697	-0.005	-5.6
0.698	-0.005	-7.4
0.699	-0.005	-12.0
0.7	-0.005	-15.8
0.701	-0.005	-14.8
0.702	-0.005	-15.2
0.703	-0.005	-14.5
0.704	-0.005	-11.0
0.705	-0.005	-9.0
0.706	-0.005	-2.7
0.707	-0.005	2.4
0.708	-0.005	4.8
0.709	-0.005	7.9
0.71	-0.005	10.5
0.711	-0.005	10.8
0.712	-0.005	10.6
0.713	-0.005	8.9
0.714	-0.005	5.2
0.715	-0.005	3.4
0.716	-0.005	-2.6
0.717	-0.005	-8.3
0.718	-0.005	-9.8
0.719	-0.005	-13.1
0.72	-0.005	-16.5
0.721	-0.005	-17.4
0.722	-0.005	-18.9
0.723	-0.005	-18.2
0.724	-0.005	-14.8
0.725	-0.005	-12.5
0.726	-0.005	-6.7
0.727	-0.005	-1.9
0.728	-0.005	0.5
0.729	-0.005	4.8
0.73	-0.005	8.0
0.731	-0.005	8.6
0.732	-0.005	9.4
0.733	-0.005	6.8
0.734	-0.005	3.0
0.735	-0.005	0.9
0.736	-0.005	-5.7
0.737	-0.005	-11.0
0.738	-0.005	-13.4
0.739	-0.005	-17.4
0.74	-0.005	-20.5
0.741	-0.005	-19.5
0.742	-0.005	-19.2
0.743	-0.005	-17.8
0.744	-0.005	-12.2
0.745	-0.005	-9.3
0.746	-0.005	-4.5
0.747	-0.005	0.9
0.748	-0.005	3.6
0.749	-0.005	8.8
0.75	-0.005	13.7
0.751	-0.005	12.6
0.752	-0.005	11.5
0.753	-0.005	11.2
0.754	-0.005	7.4
0.755	-0.005	5.0
0.756	-0.005	-0.4
0.757	-0.005	-5.1
0.758	-0.005	-6.8
0.759	-0.005	-11.7
0.76	-0.005	-15.2
0.761	-0.005	-14.7
0.762	-0.005	-14.6
0.763	-0.005	-12.6
0.764	-0.005	-9.6
0.765	-0.005	-8.3
0.766	-0.005	-2.3
0.767	-0.005	4.0
0.768	-0.005	6.8
0.769	-0.005	11.2
0.77	-0.005	13.8
0.771	-0.005	12.3
0.772	-0.005	14.2
0.773	-0.005	13.8
0.774	-0.005	9.0
0.775	-0.005	5.6
0.776	-0.005	-0.1
0.777	-0.005	-4.2
0.778	-0.005	-5.2
0.779	-0.005	-8.6
0.78	-0.005	-12.4
0.781	-0.005	-12.2
0.782	-0.005	-12.2
0.783	-0.005	-11.5
0.784	-0.005	-9.5
0.785	-0.005	-8.5
0.786	-0.005	-3.7
0.787	-0.005	0.8
0.788	-0.005	3.0
0.789	-0.005	7.1
